WKT,name,description
"LINESTRING (-81.6805702 36.1325634, -81.7057692 36.1451676, -81.7146956 36.124649, -81.7703139 36.1179932, -81.7826735 36.1080084, -81.7703139 36.1007964, -81.7840468 36.0919191, -81.8067061 36.095803, -81.8190657 36.0874801, -81.863011 36.0813761, -81.8712508 36.0586205, -81.8918501 36.0275291, -81.8925368 35.9886475, -81.9179427 35.9764236, -81.9303023 35.9775349, -81.950215 35.9658651, -81.961888 35.9564168, -81.9543349 35.9219488, -81.9728743 35.9035968, -81.9818007 35.8852405, -82.0010268 35.8768953, -82.0175063 35.8835715, -82.0271193 35.8679928, -82.0463454 35.8529676, -82.0772444 35.8468454, -82.1005904 35.8490718, -82.1177565 35.8256924, -82.1308028 35.8290327, -82.155522 35.8006355, -82.1678816 35.7883825, -82.1596419 35.7805842, -82.1665083 35.7705567, -82.1802412 35.7560703, -82.1926009 35.7365651, -82.2571455 35.7008863, -82.275685 35.7114801, -82.2928511 35.7270895, -82.3230635 35.7365651, -82.3361098 35.7493833, -82.3736909 35.7043344)",Trail 1 | 28 to 29,
"LINESTRING (-82.4794245 35.5864331, -82.53266 35.59882, -82.58271 35.57967, -82.63173 35.55863, -82.68685 35.55442, -82.74181 35.549, -82.79633 35.54146, -82.84845 35.55666, -82.90217 35.54585, -82.95205 35.52628, -82.99815 35.50125, -83.01928 35.45965, -83.07176 35.44183, -83.11614 35.413, -83.16639 35.39424, -83.22017 35.38382, -83.27536 35.38656, -83.32476 35.40732, -83.30697 35.44999, -83.31349 35.49466, -83.30025 35.53837, -83.3383 35.57111, -83.3865 35.59323, -83.43214 35.61876, -83.48041 35.6408, -83.52741 35.66468, -83.5822 35.67129, -83.6375 35.6693, -83.65227 35.71293, -83.70058 35.69072, -83.75341 35.67679, -83.80121 35.69962, -83.85581 35.70736, -83.8951 35.67559, -83.9333 35.64285, -83.9083928 35.6446059)",day 30 driving GPS coords,
"LINESTRING (-83.9083928 35.6446059, -83.95896 35.62603, -83.9937 35.59099, -84.01977 35.55125, -84.07498 35.54562, -84.11463 35.58011, -84.1703 35.57958, -84.21965 35.59995, -84.26934 35.57915, -84.31323 35.55116, -84.35421 35.52092, -84.4091 35.5134, -84.44812 35.54573, -84.46953 35.58725, -84.52493 35.58955, -84.55996 35.55472, -84.59517 35.51991, -84.63028 35.48471, -84.66586 35.45028, -84.69941 35.41455, -84.73231 35.37819, -84.7546 35.33695, -84.80275 35.31402, -84.82482 35.2728, -84.85223 35.23372, -84.8826 35.1962, -84.92619 35.16868, -84.97332 35.14536, -85.02351 35.1269, -85.05855 35.09222, -85.10929 35.07488, -85.15195 35.04633, -85.18734 35.01186, -85.24225 35.01049, -85.29595 35.01993, -85.34991 35.02853, -85.39627 35.00429, -85.42961 34.96856, -85.47524 34.94358, -85.49444 34.90144, -85.51967 34.86152, -85.54144 34.82023, -85.54164 34.77514, -85.54011 34.7301, -85.57214 34.69362, -85.60413 34.65698, -85.6319 34.6181, -85.65603 34.57765, -85.68799 34.54116, -85.69585 34.49653, -85.72766 34.45992, -85.76301 34.42542, -85.79194 34.38725, -85.82131 34.34924, -85.85309 34.31265, -85.88053 34.2738, -85.913 34.23772, -85.94436 34.20089, -85.97547 34.16395, -85.98253 34.11931, -86.01756 34.08435, -86.05146 34.04882, -86.07769 34.00926, -86.11179 33.97417, -86.15618 33.94833, -86.20394 33.92647, -86.24187 33.89405, -86.28288 33.86466, -86.3266 33.83809, -86.36462 33.80595, -86.41064 33.78208, -86.46283 33.7701, -86.49403 33.73332, -86.52664 33.69718, -86.56323 33.66403, -86.61246 33.6452, -86.6442 33.60861, -86.69158 33.58701, -86.73603 33.56142, -86.78622 33.54428, -86.83211 33.52043, -86.88383 33.5076, -86.92419 33.47773, -86.95796 33.44267, -86.97878 33.40112, -87.0049 33.36172, -87.04237 33.32929, -87.07742 33.29357, -87.11486 33.26104, -87.15984 33.23576, -87.20574 33.21225, -87.25409 33.19253, -87.30798 33.18969, -87.36139 33.18416, -87.4135 33.17277, -87.46748 33.17305, -87.5213 33.17239, -87.57335 33.16107, -87.62299 33.14344, -87.6581 33.10939, -87.69064 33.07354, -87.73003 33.04292, -87.76267 33.00723, -87.80232 32.97695, -87.84366 32.94809, -87.87454 32.91127, -87.91117 32.87845, -87.95059 32.848, -87.99381 32.82103, -88.03585 32.79321, -88.07219 32.76008, -88.11034 32.72844, -88.14784 32.69627, -88.18197 32.66101, -88.21025 32.62278, -88.23344 32.58227, -88.27104 32.55012, -88.30783 32.51755, -88.34716 32.48715, -88.38585 32.45614, -88.43525 32.43841, -88.47761 32.41108, -88.53098 32.41092, -88.5813 32.39542, -88.63296 32.38417, -88.67898 32.36128, -88.73033 32.34913, -88.77647 32.32664, -88.8015 32.28688, -88.8264 32.24705, -88.84415 32.20464, -88.8677 32.16422, -88.87807 32.1198, -88.89316 32.07664, -88.92138 32.03841, -88.94113 31.99663, -88.97244 31.96034, -89.00334 31.92365, -89.03614 31.88786, -89.04951 31.84352, -89.05439 31.79867, -89.06955 31.75556, -89.10429 31.72119, -89.13545 31.68486, -89.16468 31.64718, -89.20379 31.61673, -89.24012 31.58402, -89.26804 31.54573, -89.2975 31.50788, -89.32309 31.46835, -89.31846 31.4231, -89.32683 31.3784, -89.35236 31.33862, -89.3528 31.29361, -89.33193 31.2523, -89.33468 31.2073, -89.35432 31.16554, -89.37449 31.1239, -89.38587 31.07996, -89.40075 31.03671, -89.42174 30.99549, -89.44287 30.95403, -89.46522 30.91324, -89.48953 30.87336, -89.49815 30.82893, -89.52101 30.78819, -89.53004 30.74377, -89.56 30.70668, -89.57923 30.6644, -89.60085 30.62341, -89.62738 30.58462, -89.64958 30.54388, -89.66898 30.50199, -89.69503 30.4628, -89.71923 30.42243, -89.73846 30.3806, -89.73793 30.33554, -89.74744 30.29098, -89.76356 30.2478, -89.79454 30.21088, -89.82941 30.17739, -89.86448 30.1439, -89.89777 30.10479, -89.93016 30.06845, -89.97134 30.0399, -90.01339 30.0135, -90.05346 29.98475, -90.0592831 29.9619435)",day 31 driving GPS coords,
"LINESTRING (-81.6805702 36.1325634, -81.7057692 36.1451676, -81.7146956 36.124649, -81.7703139 36.1179932, -81.7826735 36.1080084, -81.7703139 36.1007964, -81.7840468 36.0919191, -81.8067061 36.095803, -81.8190657 36.0874801, -81.863011 36.0813761, -81.8712508 36.0586205, -81.8918501 36.0275291, -81.8925368 35.9886475, -81.9179427 35.9764236, -81.9303023 35.9775349, -81.950215 35.9658651, -81.961888 35.9564168, -81.9543349 35.9219488, -81.9728743 35.9035968, -81.9818007 35.8852405, -82.0010268 35.8768953, -82.0175063 35.8835715, -82.0271193 35.8679928, -82.0463454 35.8529676, -82.0772444 35.8468454, -82.1005904 35.8490718, -82.1177565 35.8256924, -82.1308028 35.8290327, -82.155522 35.8006355, -82.1678816 35.7883825, -82.1596419 35.7805842, -82.1665083 35.7705567, -82.1802412 35.7560703, -82.1926009 35.7365651, -82.2571455 35.7008863, -82.275685 35.7114801, -82.2928511 35.7270895, -82.3230635 35.7365651, -82.3361098 35.7493833, -82.3736909 35.7043344)",day 29 driving GPS coords,
"LINESTRING (-82.4794245 35.5864331, -82.53266 35.59882, -82.58271 35.57967, -82.63173 35.55863, -82.68685 35.55442, -82.74181 35.549, -82.79633 35.54146, -82.84845 35.55666, -82.90217 35.54585, -82.95205 35.52628, -82.99815 35.50125, -83.01928 35.45965, -83.07176 35.44183, -83.11614 35.413, -83.16639 35.39424, -83.22017 35.38382, -83.27536 35.38656, -83.32476 35.40732, -83.30697 35.44999, -83.31349 35.49466, -83.30025 35.53837, -83.3383 35.57111, -83.3865 35.59323, -83.43214 35.61876, -83.48041 35.6408, -83.52741 35.66468, -83.5822 35.67129, -83.6375 35.6693, -83.65227 35.71293, -83.70058 35.69072, -83.75341 35.67679, -83.80121 35.69962, -83.85581 35.70736, -83.8951 35.67559, -83.9333 35.64285, -83.9083928 35.6446059)",day 30 driving GPS coords,
"LINESTRING (-82.4794245 35.5864331, -82.53266 35.59882, -82.58271 35.57967, -82.63173 35.55863, -82.68685 35.55442, -82.74181 35.549, -82.79633 35.54146, -82.84845 35.55666, -82.90217 35.54585, -82.95205 35.52628, -82.99815 35.50125, -83.01928 35.45965, -83.07176 35.44183, -83.11614 35.413, -83.16639 35.39424, -83.22017 35.38382, -83.27536 35.38656, -83.32476 35.40732, -83.30697 35.44999, -83.31349 35.49466, -83.30025 35.53837, -83.3383 35.57111, -83.3865 35.59323, -83.43214 35.61876, -83.48041 35.6408, -83.52741 35.66468, -83.5822 35.67129, -83.6375 35.6693, -83.65227 35.71293, -83.70058 35.69072, -83.75341 35.67679, -83.80121 35.69962, -83.85581 35.70736, -83.8951 35.67559, -83.9333 35.64285, -83.9083928 35.6446059)",day 30 driving GPS coords,
"LINESTRING (-83.9083928 35.6446059, -83.95896 35.62603, -83.9937 35.59099, -84.01977 35.55125, -84.07498 35.54562, -84.11463 35.58011, -84.1703 35.57958, -84.21965 35.59995, -84.26934 35.57915, -84.31323 35.55116, -84.35421 35.52092, -84.4091 35.5134, -84.44812 35.54573, -84.46953 35.58725, -84.52493 35.58955, -84.55996 35.55472, -84.59517 35.51991, -84.63028 35.48471, -84.66586 35.45028, -84.69941 35.41455, -84.73231 35.37819, -84.7546 35.33695, -84.80275 35.31402, -84.82482 35.2728, -84.85223 35.23372, -84.8826 35.1962, -84.92619 35.16868, -84.97332 35.14536, -85.02351 35.1269, -85.05855 35.09222, -85.10929 35.07488, -85.15195 35.04633, -85.18734 35.01186, -85.24225 35.01049, -85.29595 35.01993, -85.34991 35.02853, -85.39627 35.00429, -85.42961 34.96856, -85.47524 34.94358, -85.49444 34.90144, -85.51967 34.86152, -85.54144 34.82023, -85.54164 34.77514, -85.54011 34.7301, -85.57214 34.69362, -85.60413 34.65698, -85.6319 34.6181, -85.65603 34.57765, -85.68799 34.54116, -85.69585 34.49653, -85.72766 34.45992, -85.76301 34.42542, -85.79194 34.38725, -85.82131 34.34924, -85.85309 34.31265, -85.88053 34.2738, -85.913 34.23772, -85.94436 34.20089, -85.97547 34.16395, -85.98253 34.11931, -86.01756 34.08435, -86.05146 34.04882, -86.07769 34.00926, -86.11179 33.97417, -86.15618 33.94833, -86.20394 33.92647, -86.24187 33.89405, -86.28288 33.86466, -86.3266 33.83809, -86.36462 33.80595, -86.41064 33.78208, -86.46283 33.7701, -86.49403 33.73332, -86.52664 33.69718, -86.56323 33.66403, -86.61246 33.6452, -86.6442 33.60861, -86.69158 33.58701, -86.73603 33.56142, -86.78622 33.54428, -86.83211 33.52043, -86.88383 33.5076, -86.92419 33.47773, -86.95796 33.44267, -86.97878 33.40112, -87.0049 33.36172, -87.04237 33.32929, -87.07742 33.29357, -87.11486 33.26104, -87.15984 33.23576, -87.20574 33.21225, -87.25409 33.19253, -87.30798 33.18969, -87.36139 33.18416, -87.4135 33.17277, -87.46748 33.17305, -87.5213 33.17239, -87.57335 33.16107, -87.62299 33.14344, -87.6581 33.10939, -87.69064 33.07354, -87.73003 33.04292, -87.76267 33.00723, -87.80232 32.97695, -87.84366 32.94809, -87.87454 32.91127, -87.91117 32.87845, -87.95059 32.848, -87.99381 32.82103, -88.03585 32.79321, -88.07219 32.76008, -88.11034 32.72844, -88.14784 32.69627, -88.18197 32.66101, -88.21025 32.62278, -88.23344 32.58227, -88.27104 32.55012, -88.30783 32.51755, -88.34716 32.48715, -88.38585 32.45614, -88.43525 32.43841, -88.47761 32.41108, -88.53098 32.41092, -88.5813 32.39542, -88.63296 32.38417, -88.67898 32.36128, -88.73033 32.34913, -88.77647 32.32664, -88.8015 32.28688, -88.8264 32.24705, -88.84415 32.20464, -88.8677 32.16422, -88.87807 32.1198, -88.89316 32.07664, -88.92138 32.03841, -88.94113 31.99663, -88.97244 31.96034, -89.00334 31.92365, -89.03614 31.88786, -89.04951 31.84352, -89.05439 31.79867, -89.06955 31.75556, -89.10429 31.72119, -89.13545 31.68486, -89.16468 31.64718, -89.20379 31.61673, -89.24012 31.58402, -89.26804 31.54573, -89.2975 31.50788, -89.32309 31.46835, -89.31846 31.4231, -89.32683 31.3784, -89.35236 31.33862, -89.3528 31.29361, -89.33193 31.2523, -89.33468 31.2073, -89.35432 31.16554, -89.37449 31.1239, -89.38587 31.07996, -89.40075 31.03671, -89.42174 30.99549, -89.44287 30.95403, -89.46522 30.91324, -89.48953 30.87336, -89.49815 30.82893, -89.52101 30.78819, -89.53004 30.74377, -89.56 30.70668, -89.57923 30.6644, -89.60085 30.62341, -89.62738 30.58462, -89.64958 30.54388, -89.66898 30.50199, -89.69503 30.4628, -89.71923 30.42243, -89.73846 30.3806, -89.73793 30.33554, -89.74744 30.29098, -89.76356 30.2478, -89.79454 30.21088, -89.82941 30.17739, -89.86448 30.1439, -89.89777 30.10479, -89.93016 30.06845, -89.97134 30.0399, -90.01339 30.0135, -90.05346 29.98475, -90.0592831 29.9619435)",day 31 driving GPS coords,
"LINESTRING (-90.0594564 29.9620618, -90.11015 29.97193, -90.15514 29.99757, -90.20655 30.00424, -90.25828 30.00843, -90.30984 30.0139, -90.35084 30.04169, -90.39189 30.06949, -90.43936 30.08799, -90.48867 30.10274, -90.54022 30.1109, -90.59196 30.11545, -90.64374 30.12009, -90.69553 30.12504, -90.74489 30.1394, -90.79533 30.15198, -90.84583 30.16312, -90.89409 30.18013, -90.93922 30.20276, -90.96907 30.23968, -90.98877 30.28133, -91.00698 30.32347, -91.03942 30.35868, -91.07736 30.38972, -91.11706 30.41887, -91.16842 30.42706, -91.21808 30.44108, -91.26835 30.45329, -91.3205 30.45072, -91.37085 30.43753, -91.42014 30.42254, -91.4706 30.41057, -91.52054 30.39738, -91.57029 30.38395, -91.62014 30.37044, -91.66994 30.35694, -91.71971 30.34323, -91.76947 30.32989, -91.81967 30.31779, -91.87078 30.30791, -91.92048 30.29399, -91.96818 30.2756, -92.01695 30.25918, -92.06737 30.24708, -92.11951 30.24742, -92.17199 30.24773, -92.22469 30.24938, -92.27688 30.25242, -92.33227 30.23731, -92.3845 30.23575, -92.43676 30.23611, -92.48875 30.23103, -92.54154 30.23354, -92.59349 30.2366, -92.64446 30.24629, -92.69658 30.2466, -92.74865 30.24792, -92.80088 30.24727, -92.85302 30.2468, -92.90515 30.24668, -92.9576 30.24659, -93.00997 30.24981, -93.0624 30.24779, -93.11455 30.24734, -93.16662 30.2463, -93.21739 30.23596, -93.26943 30.23762, -93.31795 30.22089, -93.36986 30.21591, -93.42254 30.21346, -93.47341 30.20374, -93.52433 30.194, -93.57515 30.18179, -93.62175 30.16178, -93.66839 30.14182, -93.71523 30.12165, -93.76753 30.1216, -93.81979 30.11533, -93.8683 30.13168, -93.92046 30.1307, -93.97249 30.12974, -94.02457 30.12601, -94.06595 30.0986, -94.11817 30.09606, -94.13985 30.05516, -94.17416 30.02128, -94.20911 29.98673, -94.24343 29.95279, -94.28117 29.92155, -94.32054 29.88952, -94.35871 29.85726, -94.3977 29.82737, -94.44978 29.82784, -94.50249 29.83182, -94.55461 29.83573, -94.60642 29.83862, -94.65831 29.84053, -94.71067 29.83977, -94.7628 29.83774, -94.81481 29.829, -94.8664 29.82452, -94.91822 29.82129, -94.96761 29.80764, -95.01879 29.80002, -95.07045 29.79538, -95.11918 29.77997, -95.17008 29.77087, -95.22195 29.77079, -95.2736 29.77726, -95.32545 29.77329, -95.37706 29.77915, -95.42999 29.77776, -95.48189 29.78405, -95.53432 29.78478, -95.58707 29.78494, -95.63993 29.78519, -95.69186 29.78509, -95.74415 29.78542, -95.79607 29.78558, -95.84708 29.7773, -95.89903 29.77734, -95.95101 29.77901, -96.00326 29.77922, -96.05421 29.77106, -96.10629 29.77642, -96.15609 29.76364, -96.20801 29.76095, -96.25936 29.75386, -96.31071 29.74565, -96.3612 29.73538, -96.41176 29.72513, -96.46277 29.71678, -96.51272 29.70455, -96.56306 29.69379, -96.615 29.69344, -96.66676 29.69052, -96.71882 29.69066, -96.7708 29.69221, -96.82272 29.68855, -96.87423 29.69634, -96.926 29.6906, -96.97776 29.69116, -97.02941 29.69545, -97.08119 29.69746, -97.13307 29.69657, -97.18473 29.69218, -97.23716 29.69264, -97.2849 29.67499, -97.33585 29.66662, -97.38756 29.66229, -97.4388 29.65598, -97.49002 29.64956, -97.54212 29.65272, -97.59395 29.65236, -97.64568 29.6503, -97.6971 29.64523, -97.74651 29.63185, -97.79592 29.61777, -97.84754 29.61484, -97.89771 29.60387, -97.94925 29.59951, -97.99712 29.58186, -98.03844 29.55455, -98.08596 29.53614, -98.13507 29.52058, -98.18246 29.5025, -98.23066 29.48557, -98.27922 29.46957, -98.32857 29.45542, -98.37717 29.44002, -98.42852 29.44741, -98.47949 29.43917, -98.51584 29.47124, -98.54988 29.50516, -98.57687 29.54351, -98.59747 29.58496, -98.61104 29.62863, -98.63275 29.66963, -98.65817 29.70892, -98.6921 29.74312, -98.72961 29.77456, -98.75395 29.81457, -98.78393 29.85151, -98.81167 29.88961, -98.84831 29.92145, -98.88482 29.95346, -98.91993 29.9868, -98.96012 30.0154, -98.99848 30.04585, -99.04787 30.05991, -99.09866 30.06992, -99.14744 30.08553, -99.19033 30.11104, -99.23016 30.13994, -99.26589 30.17269, -99.31568 30.18602, -99.3655 30.19985, -99.41138 30.22114, -99.45154 30.25003, -99.49716 30.27175, -99.54007 30.29753, -99.57696 30.32937, -99.60176 30.36916, -99.63737 30.402, -99.68174 30.42564, -99.72318 30.45368, -99.74929 30.49269, -99.79448 30.51538, -99.84473 30.52761, -99.89642 30.51956, -99.94461 30.50164, -99.99628 30.49517, -100.04688 30.48397, -100.09814 30.47465, -100.14788 30.45922, -100.19733 30.44479, -100.24922 30.44965, -100.29717 30.46794, -100.3435 30.48896, -100.39285 30.51, -100.43853 30.53222, -100.48572 30.55152, -100.53578 30.56579, -100.58755 30.57268, -100.63965 30.57707, -100.68958 30.59063, -100.73577 30.61203, -100.78665 30.6223, -100.83894 30.62187, -100.88728 30.64016, -100.93593 30.6568, -100.98646 30.66953, -101.03708 30.68196, -101.08801 30.69408, -101.13908 30.70599, -101.19165 30.70627, -101.24284 30.69698, -101.2937 30.68647, -101.34617 30.68038, -101.39861 30.68972, -101.45083 30.69346, -101.50208 30.70256, -101.54605 30.72699, -101.59803 30.73289, -101.65105 30.73805, -101.70243 30.74666, -101.7495 30.72685, -101.80067 30.71538, -101.84443 30.74015, -101.89615 30.74896, -101.94341 30.76949, -101.97887 30.80299, -102.01996 30.83106, -102.06617 30.85321, -102.11214 30.87567, -102.1613 30.89158, -102.21368 30.8931, -102.26616 30.89237, -102.31839 30.88843, -102.37051 30.89492, -102.42224 30.88758, -102.47225 30.87414, -102.52321 30.86366, -102.5757 30.86146, -102.62567 30.875, -102.67776 30.88155, -102.72945 30.88972, -102.78192 30.89091, -102.83572 30.8921, -102.8852 30.9072, -102.93568 30.89441, -102.98808 30.8972, -103.04051 30.89997, -103.09304 30.90559, -103.14463 30.91495, -103.19661 30.92159, -103.25043 30.92957, -103.30214 30.93731, -103.35482 30.94517, -103.40668 30.95217, -103.45879 30.95753, -103.50907 30.97124, -103.56155 30.97556, -103.61313 30.98489, -103.66467 30.99432, -103.71651 31.00396, -103.76872 31.01083, -103.82168 31.00921, -103.87337 31.01729, -103.9201 31.03826, -103.97128 31.04847, -104.01236 31.07651, -104.06342 31.08729, -104.11533 31.07877, -104.16354 31.06082, -104.21608 31.06646, -104.26877 31.06422, -104.32134 31.06497, -104.37371 31.07024, -104.42636 31.0729, -104.47931 31.06564, -104.53241 31.05978, -104.58663 31.05539, -104.6399 31.05105, -104.69334 31.0467, -104.74647 31.04276, -104.79901 31.04272, -104.85113 31.03579, -104.90353 31.03973, -104.95318 31.05467, -105.00411 31.07087, -105.05211 31.08928, -105.10269 31.10188, -105.15355 31.11502, -105.20337 31.12981, -105.25394 31.14478, -105.3036 31.15948, -105.35395 31.17257, -105.40426 31.1858, -105.45442 31.19944, -105.50643 31.20684, -105.55781 31.19617, -105.61011 31.19113, -105.65738 31.17145, -105.6864489 31.1853827)",day 34 driving GPS coords,
"LINESTRING (-109.891151 34.7926528, -109.93073 34.82448, -109.97519 34.85219, -110.02744 34.86594, -110.0799 34.87965, -110.13428 34.8861, -110.18427 34.90471, -110.2388 34.91115, -110.28085 34.94016, -110.33327 34.95455, -110.38737 34.96209, -110.44188 34.97008, -110.49691 34.97257, -110.55033 34.98379, -110.60112 35.00113, -110.65426 35.01245, -110.6983 35.03963, -110.7546 35.04392, -110.80633 35.05908, -110.85822 35.07427, -110.90959 35.09029, -110.96349 35.09922, -111.0174 35.1084, -111.07198 35.11479, -111.12695 35.11807, -111.18058 35.12807, -111.23084 35.1465, -111.28311 35.16066, -111.33674 35.17378, -111.3863 35.19345, -111.44035 35.20211, -111.49531 35.2054, -111.54913 35.21622, -111.60324 35.20606, -111.64401 35.17575, -111.69842 35.18289, -111.68699 35.13889, -111.72486 35.10619, -111.73262 35.06111, -111.73733 35.01609, -111.74901 34.97193, -111.7371 34.92789, -111.7461 34.8833, -111.79597 34.86382, -111.8130308 34.8614516)",day 36 driving GPS coords,
"LINESTRING (-111.8130308 34.8614516, -111.82454 34.90544, -111.80829 34.86246, -111.75544 34.87448, -111.72818 34.91352, -111.75409 34.95318, -111.73785 34.99621, -111.73374 35.04131, -111.73011 35.08626, -111.6978 35.1228, -111.67357 35.16325, -111.6513166 35.1982522)",day 38 driving GPS coords,
